,case_id,tracer_id,target,source,cell_count,flne,gmeannz,mean,std
237,CJ74,FR,A8aV,AuCM,0,0.0,0.000200577552151,9.66518058749e-05,0.000163071090881
238,CJ74,FR,A8aV,AuCPB,3,0.00140449438202,0.000317392279465,0.000438700291868,0.000566533934839
239,CJ74,FR,A8aV,AuML,0,0.0,,0.0,0.0
240,CJ74,FR,A8aV,AuR,0,0.0,,0.0,0.0
241,CJ74,FR,A8aV,AuRM,0,0.0,,0.0,0.0
242,CJ74,FR,A8aV,AuRPB,1,0.000468164794007,0.000468164794007,9.36329588015e-05,0.000209369660815
243,CJ74,FR,A8aV,AuRT,0,0.0,,0.0,0.0
244,CJ74,FR,A8aV,AuRTL,0,0.0,,0.0,0.0
245,CJ74,FR,A8aV,AuRTM,0,0.0,,0.0,0.0
246,CJ74,FR,A8aV,STR,0,0.0,,0.0,0.0
247,CJ74,FR,A8aV,TPt,2,0.000936329588015,0.000864960104615,0.000682437225589,0.00090770544575
248,CJ74,FR,A8aV,A10,1,0.000468164794007,0.00151714458098,0.00313902661663,0.00367851029643
249,CJ74,FR,A8aV,A46D,9,0.00421348314607,0.00116241006563,0.000906833454441,0.00185368173917
250,CJ74,FR,A8aV,A46V,98,0.0458801498127,0.0154518424062,0.0262380075831,0.0182305867875
251,CJ74,FR,A8aV,A8aD,265,0.124063670412,0.0158806775363,0.0380936519118,0.0491843247071
252,CJ74,FR,A8aV,A8b,3,0.00140449438202,0.00335072517469,0.00493757302909,0.00368753546459
253,CJ74,FR,A8aV,A9,2,0.000936329588015,0.000223705921434,0.000197955388474,0.000413412033554
254,CJ74,FR,A8aV,AI,0,0.0,,0.0,0.0
255,CJ74,FR,A8aV,DI,0,0.0,0.000359195402299,7.18390804598e-05,0.000160637067349
256,CJ74,FR,A8aV,GI,0,0.0,,0.0,0.0
257,CJ74,FR,A8aV,IPro,0,0.0,0.000359195402299,7.18390804598e-05,0.000160637067349
258,CJ74,FR,A8aV,PaIL,0,0.0,,0.0,0.0
259,CJ74,FR,A8aV,PaIM,0,0.0,,0.0,0.0
260,CJ74,FR,A8aV,ReI,0,0.0,7.3664825046e-05,1.47329650092e-05,3.29439112707e-05
261,CJ74,FR,A8aV,TPro,0,0.0,,0.0,0.0
262,CJ74,FR,A8aV,PGa-IPa,21,0.00983146067416,0.0059345499505,0.00928129127947,0.00748293698277
263,CJ74,FR,A8aV,TE1,1,0.000468164794007,0.000468164794007,9.36329588015e-05,0.000209369660815
264,CJ74,FR,A8aV,TE2,0,0.0,0.000213789417424,4.27578834848e-05,9.5609534046e-05
265,CJ74,FR,A8aV,TE3,15,0.00702247191011,0.00606012741459,0.00898030556748,0.00614252237361
266,CJ74,FR,A8aV,TEO,1,0.000468164794007,0.00156468467326,0.00160957134651,0.00152842250249
267,CJ74,FR,A8aV,TPO,6,0.00280898876404,0.000962454537029,0.00163101015902,0.00187746444709
268,CJ74,FR,A8aV,TPPro,0,0.0,,0.0,0.0
269,CJ74,FR,A8aV,A14C,0,0.0,7.3664825046e-05,1.47329650092e-05,3.29439112707e-05
270,CJ74,FR,A8aV,A14R,0,0.0,,0.0,0.0
271,CJ74,FR,A8aV,A25,0,0.0,,0.0,0.0
272,CJ74,FR,A8aV,A32,6,0.00280898876404,0.00100447789879,0.000633636833269,0.00122596503123
273,CJ74,FR,A8aV,A32V,0,0.0,,0.0,0.0
274,CJ74,FR,A8aV,A11,13,0.0060861423221,0.000566904785816,0.00142244096797,0.00262144701354
275,CJ74,FR,A8aV,A13L,86,0.0402621722846,0.00449678388507,0.0108198974887,0.0166617391945
276,CJ74,FR,A8aV,A13M,7,0.00327715355805,0.00112380756266,0.000964263895823,0.00137921877608
277,CJ74,FR,A8aV,A13a,0,0.0,,0.0,0.0
278,CJ74,FR,A8aV,A13b,0,0.0,,0.0,0.0
279,CJ74,FR,A8aV,Gu,5,0.00234082397004,0.000401067733191,0.000557724055115,0.00100865964547
280,CJ74,FR,A8aV,OPAl,4,0.00187265917603,0.00187265917603,0.000374531835206,0.000837478643258
281,CJ74,FR,A8aV,OPro,3,0.00140449438202,0.00147544188597,0.000590893531669,0.000810747463395
282,CJ74,FR,A8aV,A23V,7,0.00327715355805,0.000584286313387,0.000888443156216,0.00135718353554
283,CJ74,FR,A8aV,A23a,4,0.00187265917603,0.000583046539005,0.000547675926144,0.000797637004393
284,CJ74,FR,A8aV,A23b,8,0.00374531835206,0.00142412935489,0.00243647659742,0.00288096551901
285,CJ74,FR,A8aV,A23c,1,0.000468164794007,0.000468164794007,9.36329588015e-05,0.000209369660815
286,CJ74,FR,A8aV,A29a-c,10,0.00468164794007,0.00146279806357,0.00180900093836,0.00197220403578
287,CJ74,FR,A8aV,A29d,39,0.0182584269663,0.00141124457741,0.00434872995494,0.00779219547858
288,CJ74,FR,A8aV,A30,21,0.00983146067416,0.00041315281435,0.00208172039985,0.00433462895237
289,CJ74,FR,A8aV,A31,0,0.0,0.000541704823459,0.000951465084194,0.0017069424255
290,CJ74,FR,A8aV,PGM,13,0.0060861423221,0.00374034259473,0.00728821919573,0.00862786264634
291,CJ74,FR,A8aV,ProSt,0,0.0,0.000220994475138,4.41988950276e-05,9.88317338121e-05
292,CJ74,FR,A8aV,AIP,9,0.00421348314607,0.003418688468,0.00699234089858,0.0105548561594
293,CJ74,FR,A8aV,LIP,45,0.0210674157303,0.00710842084142,0.0105762958604,0.0081885606694
294,CJ74,FR,A8aV,MIP,48,0.0224719101124,0.0226198867621,0.0296736123397,0.0290712318857
295,CJ74,FR,A8aV,OPt,24,0.0112359550562,0.00571047280354,0.0104337823457,0.00983492925398
296,CJ74,FR,A8aV,PE,6,0.00280898876404,0.007322400477,0.0143250334089,0.0192572969811
